--- StartTestVectorGpuSum Report ---
VectorGpu._size = 1000000
blocksNum; threadsNum; Status; Result; Time_mks
9; 8; 1; 2000; 1839
9; 9; 1; 2000; 1660
9; 10; 1; 2000; 1543
9; 11; 1; 2000; 1519
9; 12; 1; 2000; 1549
9; 13; 1; 2000; 1426
9; 14; 1; 2000; 1350
9; 15; 1; 2000; 1710
9; 16; 1; 2000; 1896
9; 17; 1; 2000; 1453
9; 18; 1; 2000; 1492
9; 19; 1; 2000; 1392
9; 20; 1; 2000; 1459
10; 1; 1; 2000; 9614
10; 2; 1; 2000; 4945
10; 3; 1; 2000; 3516
10; 4; 1; 2000; 2742
10; 5; 1; 2000; 2457
10; 6; 1; 2000; 2220
10; 7; 1; 2000; 1990
10; 8; 1; 2000; 1695
10; 9; 1; 2000; 1544
10; 10; 1; 2000; 1441
10; 11; 1; 2000; 1474
10; 12; 1; 2000; 1400
10; 13; 1; 2000; 1332
10; 14; 1; 2000; 1900
10; 15; 1; 2000; 1498
10; 16; 1; 2000; 1482
10; 17; 1; 2000; 1360
10; 18; 1; 2000; 1355
10; 19; 1; 2000; 1396
10; 20; 1; 2000; 1467
11; 1; 1; 2000; 8740
11; 2; 1; 2000; 4541
11; 3; 1; 2000; 3114
11; 4; 1; 2000; 2510
11; 5; 1; 2000; 2246
11; 6; 1; 2000; 2246
11; 7; 1; 2000; 1719
11; 8; 1; 2000; 1582
11; 9; 1; 2000; 1433
11; 10; 1; 2000; 1429
11; 11; 1; 2000; 1280
11; 12; 1; 2000; 1362
11; 13; 1; 2000; 1299
11; 14; 1; 2000; 1307
11; 15; 1; 2000; 1323
11; 16; 1; 2000; 2095
11; 17; 1; 2000; 1403
11; 18; 1; 2000; 1403
11; 19; 1; 2000; 1371
11; 20; 1; 2000; 1395
12; 1; 1; 2000; 9727
12; 2; 1; 2000; 4218
12; 3; 1; 2000; 2941
12; 4; 1; 2000; 2310
12; 5; 1; 2000; 1983
12; 6; 1; 2000; 1722
12; 7; 1; 2000; 3341
12; 8; 1; 2000; 1583
12; 9; 1; 2000; 1355
12; 10; 1; 2000; 1335
12; 11; 1; 2000; 1269
12; 12; 1; 2000; 1189
12; 13; 1; 2000; 1236
12; 14; 1; 2000; 1217
12; 15; 1; 2000; 1296
12; 16; 1; 2000; 1312
12; 17; 1; 2000; 1429
12; 18; 1; 2000; 1698
12; 19; 1; 2000; 1378
12; 20; 1; 2000; 1477
